iter	Passed	Remaining
0	2	2124
1	4	2103
2	6	2068
3	8	2033
4	10	2003
5	12	1997
6	13	1979
7	15	1974
8	17	1963
9	19	1958
10	21	1956
11	23	1949
12	25	1947
13	28	1997
14	30	2005
15	33	2076
16	35	2067
17	37	2059
18	39	2052
19	41	2043
20	43	2035
21	45	2025
22	48	2039
23	50	2044
24	52	2038
25	54	2028
26	56	2019
27	57	1981
28	59	1976
29	60	1970
30	62	1965
31	64	1961
32	66	1957
33	68	1952
34	70	1945
35	72	1940
36	74	1933
37	78	1974
38	81	1999
39	83	2002
40	85	2004
41	87	2004
42	90	2004
43	92	2003
44	94	2005
45	96	2004
46	98	2005
47	101	2004
48	103	2009
49	105	2012
50	108	2020
51	110	2019
52	113	2024
53	115	2028
54	117	2027
55	120	2025
56	122	2023
57	124	2023
58	126	2021
59	128	2020
60	131	2019
61	133	2018
62	135	2016
63	137	2016
64	140	2015
65	142	2019
66	144	2017
67	147	2016
68	149	2014
69	151	2011
70	153	2009
71	155	2007
72	158	2006
73	160	2005
74	162	2003
75	164	2001
76	166	2001
77	169	2000
78	171	1997
79	173	1999
80	176	1997
81	178	1996
82	180	1994
83	182	1992
84	184	1989
85	186	1987
86	189	1986
87	191	1985
88	193	1981
89	195	1977
90	197	1973
91	199	1969
92	201	1964
93	203	1960
94	207	1972
95	209	1973
96	211	1968
97	213	1965
98	215	1963
99	217	1961
100	219	1957
101	221	1953
102	223	1949
103	225	1944
104	228	1944
105	229	1939
106	231	1935
107	233	1931
108	235	1928
109	237	1925
110	240	1924
111	242	1921
112	244	1917
113	246	1913
114	248	1910
115	250	1907
116	252	1903
117	254	1899
118	255	1895
119	257	1891
120	259	1887
121	261	1883
122	263	1879
123	265	1875
124	267	1872
125	269	1868
126	271	1866
127	273	1861
128	275	1858
129	277	1855
130	279	1852
131	281	1848
132	283	1845
133	285	1844
134	287	1843
135	289	1840
136	291	1836
137	293	1833
138	295	1830
139	297	1826
140	299	1822
141	301	1819
142	303	1816
143	304	1812
144	306	1809
145	309	1810
146	311	1807
147	313	1803
148	315	1802
149	317	1799
150	319	1795
151	321	1792
152	323	1789
153	325	1786
154	327	1783
155	329	1780
156	331	1777
157	332	1774
158	334	1771
159	336	1768
160	338	1765
161	340	1762
162	342	1759
163	344	1756
164	346	1754
165	348	1752
166	350	1749
167	354	1753
168	356	1752
169	359	1754
170	362	1757
171	364	1754
172	366	1751
173	368	1748
174	370	1747
175	372	1744
176	375	1746
177	377	1743
178	379	1740
179	381	1739
180	383	1736
181	385	1733
182	387	1731
183	389	1728
184	391	1725
185	393	1722
186	395	1719
187	397	1716
188	399	1715
189	401	1712
190	403	1709
191	405	1706
192	407	1703
193	409	1700
194	411	1698
195	413	1696
196	415	1693
197	417	1690
198	419	1688
199	421	1685
200	423	1682
201	425	1679
202	427	1678
203	429	1676
204	431	1673
205	433	1671
206	435	1668
207	437	1666
208	439	1663
209	441	1660
210	443	1657
211	445	1654
212	447	1652
213	449	1649
214	451	1647
215	453	1644
216	454	1641
217	456	1639
218	458	1636
219	460	1633
220	462	1630
221	464	1628
222	466	1625
223	468	1623
224	470	1620
225	472	1617
226	474	1615
227	476	1612
228	478	1610
229	480	1608
230	482	1606
231	484	1603
232	486	1601
233	488	1598
234	490	1596
235	493	1596
236	495	1594
237	497	1591
238	499	1589
239	501	1587
240	503	1584
241	505	1582
242	512	1595
243	515	1597
244	517	1594
245	519	1592
246	521	1589
247	523	1587
248	525	1585
249	527	1583
250	529	1580
251	531	1577
252	533	1575
253	535	1573
254	537	1570
255	539	1567
256	541	1565
257	543	1562
258	545	1560
259	547	1557
260	549	1554
261	551	1552
262	553	1550
263	555	1547
264	557	1545
265	559	1542
266	561	1540
267	562	1537
268	564	1535
269	566	1532
270	568	1530
271	570	1527
272	572	1525
273	574	1522
274	576	1520
275	578	1517
276	582	1519
277	586	1524
278	589	1524
279	591	1521
280	593	1519
281	595	1516
282	597	1514
283	599	1512
284	601	1509
285	603	1507
286	605	1504
287	607	1502
288	609	1500
289	611	1497
290	613	1495
291	615	1492
292	617	1490
293	619	1487
294	622	1487
295	625	1487
296	627	1485
297	629	1482
298	631	1480
299	633	1478
300	635	1475
301	637	1473
302	639	1471
303	641	1468
304	643	1466
305	645	1464
306	647	1461
307	649	1459
308	651	1457
309	653	1455
310	655	1453
311	657	1450
312	659	1448
313	662	1446
314	664	1444
315	666	1442
316	671	1445
317	673	1444
318	675	1442
319	677	1439
320	679	1437
321	681	1434
322	683	1432
323	685	1430
324	687	1427
325	689	1425
326	691	1422
327	693	1420
328	695	1418
329	697	1415
330	700	1416
331	702	1414
332	704	1412
333	706	1409
334	708	1407
335	710	1404
336	712	1402
337	714	1400
338	716	1397
339	718	1395
340	720	1392
341	722	1390
342	724	1387
343	726	1385
344	728	1383
345	730	1381
346	732	1379
347	734	1376
348	736	1374
349	738	1371
350	740	1369
351	742	1367
352	744	1364
353	746	1362
354	755	1372
355	757	1369
356	759	1367
357	761	1365
358	763	1362
359	765	1360
360	766	1357
361	768	1355
362	770	1352
363	772	1350
364	774	1347
365	776	1345
366	778	1342
367	780	1340
368	782	1337
369	784	1335
370	786	1332
371	788	1330
372	790	1328
373	792	1325
374	794	1323
375	796	1321
376	798	1318
377	800	1317
378	802	1314
379	804	1312
380	806	1310
381	808	1307
382	810	1305
383	812	1303
384	815	1302
385	817	1299
386	819	1297
387	821	1295
388	823	1292
389	825	1290
390	827	1288
391	829	1286
392	832	1286
393	837	1287
394	839	1285
395	841	1282
396	843	1280
397	844	1278
398	846	1275
399	849	1273
400	851	1271
401	853	1268
402	855	1266
403	857	1264
404	859	1262
405	861	1260
406	863	1257
407	865	1255
408	867	1253
409	869	1250
410	871	1248
411	873	1246
412	875	1244
413	877	1242
414	879	1239
415	881	1237
416	883	1235
417	885	1232
418	887	1230
419	889	1228
420	891	1225
421	893	1223
422	895	1221
423	897	1218
424	898	1216
425	901	1214
426	903	1212
427	905	1210
428	907	1208
429	909	1206
430	911	1203
431	913	1201
432	915	1199
433	918	1197
434	920	1195
435	922	1192
436	924	1190
437	926	1188
438	928	1186
439	930	1184
440	932	1181
441	934	1179
442	936	1177
443	938	1174
444	940	1172
445	942	1170
446	944	1168
447	946	1166
448	948	1163
449	950	1161
450	952	1159
451	954	1156
452	956	1154
453	958	1152
454	960	1150
455	962	1147
456	964	1145
457	966	1143
458	968	1141
459	970	1138
460	974	1139
461	976	1137
462	979	1135
463	981	1133
464	983	1131
465	985	1129
466	987	1126
467	989	1125
468	991	1122
469	993	1120
470	996	1119
471	998	1117
472	1000	1114
473	1003	1113
474	1005	1111
475	1007	1109
476	1011	1108
477	1013	1106
478	1015	1104
479	1017	1102
480	1019	1099
481	1021	1097
482	1023	1095
483	1025	1093
484	1027	1091
485	1029	1089
486	1031	1087
487	1034	1085
488	1036	1083
489	1038	1081
490	1041	1079
491	1043	1077
492	1045	1075
493	1047	1072
494	1049	1070
495	1055	1072
496	1058	1070
497	1060	1068
498	1062	1066
499	1064	1064
500	1067	1062
501	1069	1060
502	1071	1058
503	1073	1056
504	1075	1054
505	1077	1052
506	1079	1049
507	1081	1047
508	1083	1045
509	1085	1043
510	1087	1040
511	1089	1038
512	1091	1036
513	1093	1034
514	1095	1031
515	1097	1029
516	1099	1027
517	1101	1024
518	1103	1022
519	1105	1020
520	1107	1018
521	1109	1015
522	1111	1013
523	1113	1011
524	1115	1009
525	1117	1006
526	1119	1004
527	1121	1002
528	1123	1000
529	1127	999
530	1130	998
531	1132	996
532	1134	993
533	1136	991
534	1138	989
535	1140	987
536	1142	984
537	1144	983
538	1146	980
539	1148	978
540	1150	976
541	1152	973
542	1154	971
543	1156	969
544	1158	967
545	1160	964
546	1162	962
547	1164	960
548	1166	957
549	1167	955
550	1169	953
551	1171	951
552	1173	948
553	1175	946
554	1178	944
555	1180	942
556	1182	940
557	1183	937
558	1185	935
559	1187	933
560	1189	931
561	1191	928
562	1193	926
563	1195	924
564	1197	921
565	1198	919
566	1200	916
567	1202	914
568	1204	912
569	1206	910
570	1208	907
571	1211	906
572	1213	904
573	1216	902
574	1218	900
575	1220	898
576	1222	896
577	1224	894
578	1226	891
579	1228	889
580	1229	886
581	1231	884
582	1233	882
583	1235	880
584	1237	877
585	1239	875
586	1241	873
587	1243	871
588	1245	869
589	1247	866
590	1249	864
591	1251	862
592	1252	859
593	1254	857
594	1256	855
595	1258	853
596	1260	851
597	1262	848
598	1267	848
599	1272	848
600	1274	846
601	1277	844
602	1279	842
603	1281	839
604	1283	837
605	1285	835
606	1287	833
607	1289	831
608	1291	829
609	1293	826
610	1295	824
611	1297	822
612	1299	820
613	1301	818
614	1303	815
615	1305	813
616	1307	811
617	1309	809
618	1311	807
619	1313	805
620	1315	803
621	1319	801
622	1321	799
623	1323	797
624	1325	795
625	1327	793
626	1329	790
627	1331	788
628	1333	786
629	1335	784
630	1337	782
631	1339	780
632	1341	777
633	1343	775
634	1345	773
635	1347	771
636	1349	769
637	1351	766
638	1353	764
639	1355	762
640	1357	760
641	1359	757
642	1361	755
643	1364	754
644	1368	753
645	1373	752
646	1378	752
647	1383	751
648	1387	750
649	1390	748
650	1392	746
651	1394	744
652	1396	742
653	1398	739
654	1400	737
655	1402	735
656	1405	733
657	1408	732
658	1412	730
659	1414	728
660	1418	727
661	1421	725
662	1423	723
663	1425	721
664	1427	719
665	1429	716
666	1431	714
667	1433	712
668	1435	710
669	1437	708
670	1439	705
671	1441	703
672	1443	701
673	1445	699
674	1447	697
675	1449	694
676	1452	692
677	1454	690
678	1456	688
679	1459	686
680	1461	684
681	1462	682
682	1465	680
683	1467	677
684	1469	675
685	1471	673
686	1473	671
687	1475	668
688	1477	666
689	1478	664
690	1480	662
691	1482	660
692	1484	657
693	1486	655
694	1488	653
695	1490	651
696	1492	648
697	1494	646
698	1496	644
699	1498	642
700	1501	640
701	1503	638
702	1505	635
703	1506	633
704	1509	631
705	1511	629
706	1513	627
707	1515	624
708	1517	622
709	1518	620
710	1521	618
711	1523	616
712	1525	613
713	1527	611
714	1529	609
715	1531	607
716	1535	605
717	1540	605
718	1542	602
719	1544	600
720	1546	598
721	1548	596
722	1550	594
723	1552	591
724	1554	589
725	1556	587
726	1558	585
727	1560	583
728	1563	581
729	1565	578
730	1567	576
731	1569	574
732	1571	572
733	1573	570
734	1575	568
735	1577	565
736	1579	563
737	1581	561
738	1583	559
739	1585	556
740	1587	554
741	1589	552
742	1591	550
743	1592	548
744	1594	545
745	1596	543
746	1599	541
747	1601	539
748	1603	537
749	1605	535
750	1607	533
751	1609	530
752	1611	528
753	1613	526
754	1615	524
755	1617	522
756	1621	520
757	1623	518
758	1625	516
759	1627	514
760	1629	511
761	1631	509
762	1633	507
763	1635	505
764	1637	503
765	1640	501
766	1642	498
767	1644	496
768	1647	494
769	1649	492
770	1651	490
771	1653	488
772	1655	486
773	1657	483
774	1659	481
775	1661	479
776	1664	477
777	1672	477
778	1675	475
779	1677	473
780	1679	470
781	1681	468
782	1683	466
783	1685	464
784	1687	462
785	1690	460
786	1692	457
787	1694	455
788	1695	453
789	1697	451
790	1699	449
791	1701	446
792	1703	444
793	1705	442
794	1707	440
795	1709	438
796	1711	435
797	1713	433
798	1715	431
799	1717	429
800	1719	427
801	1721	425
802	1723	422
803	1725	420
804	1728	418
805	1730	416
806	1732	414
807	1734	412
808	1736	409
809	1738	407
810	1740	405
811	1742	403
812	1744	401
813	1746	399
814	1748	396
815	1750	394
816	1752	392
817	1754	390
818	1759	388
819	1761	386
820	1764	384
821	1766	382
822	1768	380
823	1770	378
824	1772	375
825	1775	373
826	1777	371
827	1779	369
828	1781	367
